patnum,assignee,pgpub_id,assignee_cleaned,cik,company_name,Cleaned_company_name,Score,Score
2924895,Bachi Roberto,,bachiroberto,1179649,BACCHI ROBERT,bacchirobert,92.3076923076923,92.3076923076923
5380273,"BACCHUS VASCULAR, INC.",,bacchusvascular,1088857,BACCHUS VASCULAR INC,bacchusvascular,95.23809523809523,95.23809523809523
5380273,"BACCHUS VASCULAR, INC.",,bacchusvascular,1368655,Bacchus Vascular Inc,bacchusvascular,95.23809523809523,95.23809523809523
5588007,"BOZAK INVESTMENTS, LLC",,bozakinvestments,1098318,BACE INVESTMENTS LLC,baceinvestments,85.71428571428572,85.71428571428572
3111191,Bachert John,,bachertjohn,1210680,BACHEY JOHN,bacheyjohn,86.95652173913044,86.95652173913044
2116186,Buschman Andrew,,buschmanandrew,1547262,BACHMAN ANDREW,bachmanandrew,89.65517241379311,89.65517241379311
2116186,Buschman Andrew,,buschmanandrew,1547262,Bachman Andrew,bachmanandrew,89.65517241379311,89.65517241379311
2214984,Bachmann Henry,,bachmannhenry,1248484,BACHMAN HENRY L,bachmanhenryl,89.65517241379311,89.65517241379311
4631664,"Bachman Information Systems, Inc.",,bachmaninformationsystems,880229,BACHMAN INFORMATION SYSTEMS INC /MA/,bachmaninformationsystemsma,89.85507246376811,89.85507246376811
5658024,Bachmann Inc.,,bachmann,1314129,BACHMAN NGV INC,bachmanngv,85.71428571428572,85.71428571428572
1780221,Buchmann John,,buchmannjohn,1091693,BACHMANN JOHN W,bachmannjohnw,85.71428571428572,85.71428571428572
5253967,Biach Industries,,biachindustries,1044874,BACHOCO INDUSTRIES,bachocoindustries,88.23529411764706,88.23529411764706
1735950,Brasch Ernest,,braschernest,1284241,BACHRACH ERNEST,bachrachernest,85.71428571428572,85.71428571428572
3204604,Barich Steve,,barichsteve,1196175,BACICH STEVEN,bacichsteven,88.0,88.0
5898576,Bay Networks Inc.,,baynetworks,1516195,BACK9 NETWORK INC.,back9network,85.71428571428572,85.71428571428572
1586138,Becker Joseph,,beckerjoseph,1074277,BACKER F JOSEPH,backerfjoseph,85.71428571428572,85.71428571428572
2220705,Burckes Richard,,burckesrichard,1054200,BACKES RICHARD,backesrichard,89.65517241379311,89.65517241379311
4968359,"Bonal Technologies, Inc.",,bonaltechnologies,1606345,"Backflip Technologies, Inc.",backfliptechnologies,86.27450980392157,86.27450980392157
