patnum,assignee,pgpub_id,assignee_cleaned,cik,company_name,Cleaned_company_name,Score,Score
5108683,"CANGEN HOLDINGS, INC.",,cangen,1162231,CADENT HOLDINGS INC,cadent,85.0,85.0
5108683,"CANGEN HOLDINGS, INC.",,cangen,1162231,"CADENT HOLDINGS, INC.",cadent,90.47619047619048,90.47619047619048
5216569,"Cable Innovations, Inc.",,cableinnovations,1678930,"Cadenza Innovation, Inc.",cadenzainnovation,85.1063829787234,85.1063829787234
5911937,"CRATOS CAPITAL MANAGEMENT, LLC",,cratoscapitalmanagement,1423686,"CADIAN CAPITAL MANAGEMENT, LLC",cadiancapitalmanagement,86.66666666666667,86.66666666666667
4171618,"CREAGAN, WILLIAM J.",,creaganwilliamj,1471607,CADIGAN WILLIAM J.,cadiganwilliamj,86.48648648648648,86.48648648648648
3202192,CADILLAC WIRE CORP,,cadillacwire,1045214,CADILLAC FAIRVIEW CORP,cadillacfairview,85.0,85.0
5144315,"Cardion, Inc.",,cardion,1497459,"Cadio, Inc.",cadio,91.66666666666666,91.66666666666666
4616702,"Comdisco Resources, Inc.",,comdiscoresources,1375213,CADISCOR RESOURCES INC.,cadiscorresources,89.36170212765957,89.36170212765957
5511654,"Calis Holdings, Inc.",,calis,1521762,Cadista Holdings Inc.,cadista,87.8048780487805,87.8048780487805
5511654,"Calis Holdings, Inc.",,calis,1521762,CADISTA HOLDINGS INC.,cadista,87.8048780487805,87.8048780487805
5511654,"Calis Holdings, Inc.",,calis,1521762,Cadista Holdings Inc.,cadista,87.8048780487805,87.8048780487805
5511654,"Calis Holdings, Inc.",,calis,1521762,CADISTA HOLDINGS INC.,cadista,87.8048780487805,87.8048780487805
5511654,"Calis Holdings, Inc.",,calis,1521762,Cadista Holdings Inc.,cadista,87.8048780487805,87.8048780487805
2201981,CLADITE Inc,,cladite,1406451,CADIT INC,cadit,90.0,90.0
5132066,CARDIOTECH INTERNATIONAL INC.,,cardiotechinternational,1057760,CADITEC INTERNATIONAL INC,caditecinternational,92.5925925925926,92.5925925925926
3633523,CARD AND CO Inc,,card,720498,CADIZ LAND CO INC,cadizland,87.5,87.5
3633523,CARD AND CO Inc,,card,727273,CADIZ LAND CO INC,cadizland,87.5,87.5
3633523,CARD AND CO Inc,,card,727273,CADIZ LAND CO INC,cadizland,87.5,87.5
3633523,CARD AND CO Inc,,card,727273,CADIZ LAND CO INC,cadizland,87.5,87.5
3633523,CARD AND CO Inc,,card,819926,CADIZ LAND CO INC,cadizland,87.5,87.5
5895112,CAMSING GLOBAL LLC,,camsingglobal,1292296,CADMAN GLOBAL LLC,cadmanglobal,85.71428571428572,85.71428571428572
5911937,"CRATOS CAPITAL MANAGEMENT, LLC",,cratoscapitalmanagement,1274033,CADMUS CAPITAL MANAGEMENT LLC,cadmuscapitalmanagement,88.13559322033898,88.13559322033898
5563377,CDT INTERNATIONAL HOLDINGS INC.,,cdtinternational,1301161,"Cadmus International Holdings, Inc.",cadmusinternational,90.9090909090909,90.9090909090909
